file,decision,priority,risk_score,loc,has_nearby_test,any_count,console_count,catch_count,runtime_unreachable,planned_move_scope,reasons
src/services/editing/xlsx/xlsxFileEditor.service.ts,V2_NOW,p1,10,1122,false,182,0,0,false,true,large_file_1000_plus|no_nearby_tests_large|high_any_density|planned_module_migration_scope
src/services/cache.service.ts,V2_NOW,p1,9,568,false,12,48,23,false,false,file_500_plus|no_nearby_tests_large|elevated_any_density|high_console_density|many_catch_paths
src/services/editing/documentRevisionStore.service.ts,V2_NOW,p1,8,3090,true,233,0,8,false,true,very_large_file|high_any_density|planned_module_migration_scope
src/services/editing/docx/docxEditor.service.ts,V2_NOW,p1,8,2894,false,14,0,0,false,true,very_large_file|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/editOrchestrator.service.ts,V2_NOW,p1,8,988,false,32,0,3,false,true,large_file_800_plus|no_nearby_tests_large|elevated_any_density|planned_module_migration_scope
src/services/editing/allybi/operatorPlanner.ts,V2_NOW,p1,7,1051,false,7,0,0,false,true,large_file_1000_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/auth.service.ts,V2_NOW,p1,7,1005,false,3,17,7,false,false,large_file_1000_plus|no_nearby_tests_large|elevated_console_density
src/services/telemetry/telemetry.aggregations.ts,V2_NOW,p1,7,982,false,38,0,0,false,false,large_file_800_plus|no_nearby_tests_large|elevated_any_density
src/services/telemetry/adminTelemetryAdapter.ts,V2_TARGETED,p2,6,1825,true,3,31,31,false,false,very_large_file|elevated_console_density|many_catch_paths
src/services/core/banks/dataBankLoader.service.ts,V2_TARGETED,p2,6,1604,true,21,0,4,false,true,very_large_file|any_density|planned_module_migration_scope
src/services/editing/spreadsheetModel/computeOpsToPatchPlan.ts,V2_TARGETED,p2,6,980,false,9,0,1,false,true,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/core/banks/documentIntelligenceBanks.service.ts,V2_TARGETED,p2,6,900,false,0,0,0,false,true,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/spreadsheetModel/spreadsheetModel.patch.apply.ts,V2_TARGETED,p2,6,899,false,6,0,1,false,true,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/slides/slidesEditor.service.ts,V2_TARGETED,p2,6,876,false,3,0,0,false,true,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/intentRuntime/slotFill.ts,V2_TARGETED,p2,6,817,false,2,0,0,false,true,large_file_800_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/extraction/pdfExtractor.service.ts,V2_TARGETED,p2,6,766,false,10,14,2,false,false,file_500_plus|no_nearby_tests_large|any_density|elevated_console_density
src/services/retrieval/pinecone.service.ts,V2_TARGETED,p2,6,733,false,22,0,1,false,false,file_500_plus|no_nearby_tests_large|elevated_any_density
src/services/extraction/google-vision-ocr.service.ts,V2_TARGETED,p2,6,645,false,17,5,4,false,false,file_500_plus|no_nearby_tests_large|elevated_any_density
src/services/preview/previewPdfGenerator.service.ts,V2_TARGETED,p2,6,631,false,5,30,4,false,false,file_500_plus|no_nearby_tests_large|high_console_density
src/services/retrieval/vectorEmbedding.service.ts,V2_TARGETED,p2,6,607,false,8,12,3,false,false,file_500_plus|no_nearby_tests_large|any_density|elevated_console_density
src/services/preview/pptxSlideImageGenerator.service.ts,V2_TARGETED,p2,6,358,false,8,14,5,false,false,no_nearby_tests_medium|elevated_any_density|high_console_density
src/services/retrieval/document_intelligence/ruleInterpreter.ts,V2_TARGETED,p2,5,1250,true,32,0,0,false,false,large_file_1000_plus|elevated_any_density
src/services/chat/turnRouter.service.ts,V2_TARGETED,p2,5,996,true,23,1,1,false,true,large_file_800_plus|elevated_any_density|planned_module_migration_scope
src/services/llm/providers/local/localClient.service.ts,V2_TARGETED,p2,5,979,false,0,0,1,false,false,large_file_800_plus|no_nearby_tests_large
src/services/editing/agents/sheetsEditAgent.service.ts,V2_TARGETED,p2,5,771,false,0,0,1,false,true,file_500_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/slides/slidesClient.service.ts,V2_TARGETED,p2,5,673,false,4,0,1,false,true,file_500_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/editing/docx/docxAnchors.service.ts,V2_TARGETED,p2,5,671,false,0,0,0,false,true,file_500_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/extraction/xlsxExtractor.service.ts,V2_TARGETED,p2,5,654,false,8,4,1,false,false,file_500_plus|no_nearby_tests_large|any_density
src/services/editing/spreadsheetModel/spreadsheetModel.semanticIndex.ts,V2_TARGETED,p2,5,587,false,0,0,0,false,true,file_500_plus|no_nearby_tests_large|planned_module_migration_scope
src/services/connectors/tokenVault.service.ts,V2_TARGETED,p2,5,552,false,1,0,10,false,false,file_500_plus|no_nearby_tests_large|many_catch_paths
src/services/editing/spreadsheetModel/spreadsheetModel.compiler.ts,V2_TARGETED,p2,5,313,false,17,0,0,false,true,no_nearby_tests_medium|high_any_density
src/services/preview/googleSlidesPreview.service.ts,V2_TARGETED,p2,5,132,false,3,7,2,false,false,no_nearby_tests|elevated_any_density|high_console_density
src/services/core/retrieval/retrievalEngine.service.ts,V2_TARGETED,p2,4,3641,true,10,0,1,false,false,very_large_file
src/services/core/enforcement/responseContractEnforcer.v2.service.ts,V2_TARGETED,p2,4,2770,true,8,0,0,false,false,very_large_file
src/services/core/enforcement/qualityGateRunner.service.ts,V2_TARGETED,p2,4,2122,true,3,0,1,false,false,very_large_file
src/services/chat/handlers/connectorTurn.handler.ts,V2_TARGETED,p2,4,1344,true,12,0,6,false,true,large_file_1000_plus|planned_module_migration_scope
src/services/core/banks/runtimeWiringIntegrity.service.ts,V2_TARGETED,p2,4,1060,true,2,0,0,false,true,large_file_1000_plus|planned_module_migration_scope
src/services/llm/providers/gemini/geminiClient.service.ts,V2_TARGETED,p2,4,727,false,1,0,1,false,false,file_500_plus|no_nearby_tests_large
src/services/connectors/gmail/gmailOAuth.service.ts,V2_TARGETED,p2,4,710,false,1,0,2,false,false,file_500_plus|no_nearby_tests_large
src/services/config/intentConfig.service.ts,V2_TARGETED,p2,4,686,false,5,0,0,false,false,file_500_plus|no_nearby_tests_large
src/services/core/retrieval/sourceButtons.service.ts,V2_TARGETED,p2,4,624,false,0,0,0,false,false,file_500_plus|no_nearby_tests_large
src/services/admin/overview.service.ts,V2_TARGETED,p2,4,566,false,0,1,1,false,false,file_500_plus|no_nearby_tests_large
src/services/llm/core/llmRouter.service.ts,V2_TARGETED,p2,4,518,false,3,0,0,false,false,file_500_plus|no_nearby_tests_large
src/services/ingestion/markdownConversion.service.ts,V2_TARGETED,p2,4,512,false,4,5,4,false,false,file_500_plus|no_nearby_tests_large
src/services/extraction/docxExtractor.service.ts,V2_TARGETED,p2,4,507,false,4,4,1,false,false,file_500_plus|no_nearby_tests_large
src/services/admin/users.service.ts,V2_TARGETED,p2,4,502,false,0,0,0,false,false,file_500_plus|no_nearby_tests_large
src/services/jobs/pubsubPublisher.service.ts,V2_TARGETED,p2,4,363,false,10,1,1,false,false,no_nearby_tests_medium|elevated_any_density
src/services/ingestion/pptxImageExtractor.service.ts,V2_TARGETED,p2,4,353,false,3,21,5,false,false,no_nearby_tests_medium|high_console_density
src/services/editing/allybi/operatorValidator.ts,V2_TARGETED,p2,4,327,false,12,0,0,false,true,no_nearby_tests_medium|elevated_any_density
src/services/editing/spreadsheetModel/spreadsheetModel.builder.ts,V2_TARGETED,p2,4,292,false,27,0,0,false,true,no_nearby_tests|high_any_density
src/services/conversion/cloudConvertPptx.service.ts,V2_TARGETED,p2,4,289,false,3,14,2,false,false,no_nearby_tests|any_density|high_console_density
src/services/editing/allybi/loadBanks.ts,V2_TARGETED,p2,4,132,false,57,0,0,false,true,no_nearby_tests|high_any_density
src/services/chat/turnContext.builder.ts,V2_TARGETED,p2,4,94,false,7,0,0,false,true,no_nearby_tests|high_any_density
src/services/security/crypto.types.ts,V2_TARGETED,p2,4,19,false,1,0,0,false,false,no_nearby_tests|high_any_density
src/services/llm/core/llmRequestBuilder.service.ts,KEEP,none,3,1140,true,4,0,0,false,false,large_file_1000_plus
src/services/core/handlers/connectorHandler.service.ts,KEEP,none,3,1073,true,0,3,5,false,false,large_file_1000_plus
src/services/llm/core/llmGateway.service.ts,KEEP,none,3,1066,true,0,0,0,false,false,large_file_1000_plus
src/services/core/retrieval/prismaRetrievalAdapters.service.ts,KEEP,none,3,1059,true,0,0,0,false,false,large_file_1000_plus
src/services/core/scope/scopeGate.service.ts,KEEP,none,3,1007,true,1,0,0,false,false,large_file_1000_plus
src/services/chat/turnRoutePolicy.service.ts,KEEP,none,3,582,true,8,0,0,false,true,file_500_plus|any_density|planned_module_migration_scope
src/services/core/inputs/languageDetector.service.ts,KEEP,none,3,549,true,24,0,0,false,false,file_500_plus|elevated_any_density
src/services/extraction/pptxExtractor.service.ts,KEEP,none,3,487,false,9,7,2,false,false,no_nearby_tests_medium|any_density
src/services/ingestion/fileValidator.service.ts,KEEP,none,3,457,false,6,5,5,false,false,no_nearby_tests_medium|any_density
src/services/retrieval/embedding.service.ts,KEEP,none,3,457,false,5,0,2,false,false,no_nearby_tests_medium|any_density
src/services/editing/allybi/scopeResolver.ts,KEEP,none,3,431,false,6,0,0,false,true,no_nearby_tests_medium|any_density
src/services/editing/allybi/intentClassifier.ts,KEEP,none,3,420,false,7,0,0,false,true,no_nearby_tests_medium|any_density
src/services/editing/allybi/supportContract.service.ts,KEEP,none,3,373,false,5,0,0,false,true,no_nearby_tests_medium|any_density
src/services/editing/editSuggestions.service.ts,KEEP,none,3,373,false,4,0,0,false,true,no_nearby_tests_medium|any_density
src/services/editing/editReceipt.service.ts,KEEP,none,3,278,false,6,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/sms.service.ts,KEEP,none,3,261,false,1,11,1,false,false,no_nearby_tests|high_console_density
src/services/email.service.ts,KEEP,none,3,247,false,0,11,1,false,false,no_nearby_tests|high_console_density
src/services/editing/capabilities/capabilityMatrix.service.ts,KEEP,none,3,215,false,9,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/telemetry/telemetry.service.ts,KEEP,none,3,213,false,7,2,3,false,false,no_nearby_tests|elevated_any_density
src/services/editing/allybi/fontIntentResolver.ts,KEEP,none,3,197,false,4,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/creative/googleImagenProvider.ts,KEEP,none,3,153,false,0,5,1,false,false,no_nearby_tests|high_console_density
src/services/editing/agents/docxEditAgent.service.ts,KEEP,none,3,141,false,4,0,1,false,true,no_nearby_tests|elevated_any_density
src/services/extraction/ocrSignals.service.ts,KEEP,none,3,136,true,15,0,0,false,false,high_any_density
src/services/editing/banks/bankIntegrity.service.ts,KEEP,none,3,105,false,4,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/editing/docx/docxValidator.service.ts,KEEP,none,3,99,false,3,0,3,false,true,no_nearby_tests|elevated_any_density
src/services/editing/banks/bankService.ts,KEEP,none,3,96,false,2,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/chat/chatLanguage.service.ts,KEEP,none,3,88,false,2,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/connectors/connectorIdentityMap.service.ts,KEEP,none,3,68,false,2,0,0,false,false,no_nearby_tests|elevated_any_density
src/services/realtime/socketGateway.service.ts,KEEP,none,3,65,false,2,0,2,false,false,no_nearby_tests|elevated_any_density
src/services/security/redact.service.ts,KEEP,none,3,57,true,4,0,0,false,false,high_any_density
src/services/core/policy/dataRetentionDeletionPolicy.service.ts,KEEP,none,3,49,false,1,0,0,false,false,no_nearby_tests|elevated_any_density
src/services/core/policy/modelReleasePolicy.service.ts,KEEP,none,3,49,false,1,0,0,false,false,no_nearby_tests|elevated_any_density
src/services/core/policy/policyExceptionsPolicy.service.ts,KEEP,none,3,46,false,1,0,0,false,false,no_nearby_tests|elevated_any_density
src/services/chat/handlers/editorTurn.handler.ts,KEEP,none,3,43,false,1,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/editing/editingPolicy.service.ts,KEEP,none,3,43,false,2,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/chat/responseEnvelope.ts,KEEP,none,3,41,false,2,0,0,false,true,no_nearby_tests|elevated_any_density
src/services/llm/prompts/promptRegistry.service.ts,KEEP,none,2,918,true,4,0,0,false,false,large_file_800_plus
src/services/chat/chatMicrocopy.service.ts,KEEP,none,2,780,true,0,0,0,false,true,file_500_plus|planned_module_migration_scope
src/services/editing/textGeneration.service.ts,KEEP,none,2,771,true,6,0,2,false,true,file_500_plus|planned_module_migration_scope
src/services/editing/intentRuntime/matcher.ts,KEEP,none,2,699,true,0,0,0,false,true,file_500_plus|planned_module_migration_scope
src/services/extraction/piiExtractor.service.ts,KEEP,none,2,581,true,8,0,5,false,false,file_500_plus|any_density
src/services/connectors/slack/slackOAuth.service.ts,KEEP,none,2,484,false,0,0,3,false,false,no_nearby_tests_medium
src/services/editing/docx/docxMarkdownBridge.service.ts,KEEP,none,2,477,false,1,0,0,false,true,no_nearby_tests_medium
src/services/connectors/outlook/graphClient.service.ts,KEEP,none,2,475,false,0,0,2,false,false,no_nearby_tests_medium
src/services/admin/marketing.service.ts,KEEP,none,2,473,false,0,0,0,false,false,no_nearby_tests_medium
src/services/prismaFolder.service.ts,KEEP,none,2,471,false,3,0,0,false,false,no_nearby_tests_medium
src/services/admin/googleMetrics.service.ts,KEEP,none,2,461,false,0,0,1,false,false,no_nearby_tests_medium
src/services/connectors/gmail/gmailClient.service.ts,KEEP,none,2,442,false,1,0,1,false,false,no_nearby_tests_medium
src/services/editing/intentRuntime/planAssembler.ts,KEEP,none,2,441,false,0,0,0,false,true,no_nearby_tests_medium
src/services/connectors/outlook/outlookOAuth.service.ts,KEEP,none,2,433,false,0,0,5,false,false,no_nearby_tests_medium
src/services/ingestion/titleGeneration.service.ts,KEEP,none,2,425,false,3,5,4,false,false,no_nearby_tests_medium
src/services/llm/types/llm.types.ts,KEEP,none,2,419,false,1,0,0,false,false,no_nearby_tests_medium
src/services/core/enforcement/tokenBudget.service.ts,KEEP,none,2,416,false,0,0,0,false,false,no_nearby_tests_medium
src/services/admin/answerQuality.service.ts,KEEP,none,2,415,false,0,0,0,false,false,no_nearby_tests_medium
src/services/admin/queries.service.ts,KEEP,none,2,413,false,0,0,0,false,false,no_nearby_tests_medium
src/services/editing/editing.types.ts,KEEP,none,2,411,false,0,0,0,false,true,no_nearby_tests_medium
src/services/core/banks/bankLoader.service.ts,KEEP,none,2,407,false,0,3,2,false,true,no_nearby_tests_medium
src/services/connectors/gmail/gmailSync.service.ts,KEEP,none,2,404,false,2,0,3,false,false,no_nearby_tests_medium
src/services/editing/intentRuntime/coverage.ts,KEEP,none,2,404,false,0,0,1,false,true,no_nearby_tests_medium
src/services/core/compose/extractionCompiler.service.ts,KEEP,none,2,395,false,1,0,0,false,false,no_nearby_tests_medium
src/services/llm/providers/openai/openaiClient.service.ts,KEEP,none,2,374,false,0,0,0,false,false,no_nearby_tests_medium
src/services/prismaDocument.service.ts,KEEP,none,2,368,false,3,1,1,false,false,no_nearby_tests_medium
src/services/connectors/slack/slackSync.service.ts,KEEP,none,2,356,false,0,0,1,false,false,no_nearby_tests_medium
src/services/documents/revision.service.ts,KEEP,none,2,344,false,0,0,0,false,false,no_nearby_tests_medium
src/services/ingestion/excelHtmlPreview.service.ts,KEEP,none,2,338,false,2,4,1,false,false,no_nearby_tests_medium
src/services/editing/intentRuntime/types.ts,KEEP,none,2,337,false,3,0,0,false,true,no_nearby_tests_medium
src/services/twoFactor.service.ts,KEEP,none,2,331,false,1,0,0,false,false,no_nearby_tests_medium
src/services/admin/llmCost.service.ts,KEEP,none,2,323,false,0,0,0,false,false,no_nearby_tests_medium
src/services/retrieval/gcsStorage.service.ts,KEEP,none,2,320,false,0,2,8,false,false,no_nearby_tests_medium
src/services/editing/slides/slidesValidators.service.ts,KEEP,none,2,319,false,0,0,0,false,true,no_nearby_tests_medium
src/services/llm/types/llmStreaming.types.ts,KEEP,none,2,318,false,0,0,0,false,false,no_nearby_tests_medium
src/services/connectors/outlook/outlookSync.service.ts,KEEP,none,2,313,false,0,1,3,false,false,no_nearby_tests_medium
src/services/llm/types/llmTools.types.ts,KEEP,none,2,307,false,2,0,0,false,false,no_nearby_tests_medium
src/services/core/certification/orchestratorCertification.service.ts,KEEP,none,2,306,false,3,0,0,false,false,no_nearby_tests_medium
src/services/admin/reliability.service.ts,KEEP,none,2,300,false,0,0,0,false,false,no_nearby_tests_medium
